iter	RMSE
0	14.58363472
1	14.17543661
2	13.78550022
3	13.38478656
4	13.02102895
5	12.70694545
6	12.37547626
7	12.06266848
8	11.73496489
9	11.4269825
10	11.12533845
11	10.86172034
12	10.5949636
13	10.32291873
14	10.04629995
15	9.769853356
16	9.515129141
17	9.306241181
18	9.100513091
19	8.893300959
20	8.685316082
21	8.499844632
22	8.307495872
23	8.1177526
24	7.931607851
25	7.756832306
26	7.608154629
27	7.452902326
28	7.306446817
29	7.179139938
30	7.043847027
31	6.917507255
32	6.781291427
33	6.66591736
34	6.542352148
35	6.414956681
36	6.289387964
37	6.190572431
38	6.083308012
39	5.992048026
40	5.911159546
41	5.827959977
42	5.736933142
43	5.656179587
44	5.583235815
45	5.50937529
46	5.432232784
47	5.370319024
48	5.302342435
49	5.24872519
50	5.193630089
51	5.128626039
52	5.079960972
53	5.029531338
54	4.977913204
55	4.922169461
56	4.865941062
57	4.819226083
58	4.779574582
59	4.731828574
60	4.686349247
61	4.646044969
62	4.605188575
63	4.5693107
64	4.531087851
65	4.497680724
66	4.466673775
67	4.433144224
68	4.406247897
69	4.373798017
70	4.346224927
71	4.324401016
72	4.300988885
73	4.28260878
74	4.254530427
75	4.230278215
76	4.208044773
77	4.184805839
78	4.162211739
79	4.141664284
80	4.127266058
81	4.104972265
82	4.084862809
83	4.06984928
84	4.050558309
85	4.032273494
86	4.017065688
87	4.000094077
88	3.98720699
89	3.974922385
90	3.956678614
91	3.94897404
92	3.934326597
93	3.927401604
94	3.916490094
95	3.902971402
96	3.882817302
97	3.872147954
98	3.866269722
99	3.854635251
100	3.834871514
101	3.822612847
102	3.811344134
103	3.801308285
104	3.788074661
105	3.774125435
106	3.764832146
107	3.754598936
108	3.742656034
109	3.732605267
110	3.72084065
111	3.705609534
112	3.691936516
113	3.678647312
114	3.670045247
115	3.665270922
116	3.655441427
117	3.646954924
118	3.639221157
119	3.630711269
120	3.624141105
121	3.61777395
122	3.611136621
123	3.603778953
124	3.598211537
125	3.591049608
126	3.579947594
127	3.570657211
128	3.561599902
129	3.551114901
130	3.543899602
131	3.533513596
132	3.530014194
133	3.526036255
134	3.518676647
135	3.512158566
136	3.502200192
137	3.494820031
138	3.485376361
139	3.4771916
140	3.470055493
141	3.459989528
142	3.45470468
143	3.445614042
144	3.440343767
145	3.432161215
146	3.423958353
147	3.41776157
148	3.41594547
149	3.411688641
150	3.402869103
151	3.399223069
152	3.390089756
153	3.382346406
154	3.373526686
155	3.36699852
156	3.358009983
157	3.351389079
158	3.343434979
159	3.334427472
160	3.330632384
161	3.321890914
162	3.315835245
163	3.312468781
164	3.306059264
165	3.295546259
166	3.289092611
167	3.277626146
168	3.272129283
169	3.268526089
170	3.263588497
171	3.25831877
172	3.253577105
173	3.247157846
174	3.244156693
175	3.242085088
176	3.233913123
177	3.231307322
178	3.231032556
179	3.228178849
180	3.227729257
181	3.221205354
182	3.214423709
183	3.20975015
184	3.203967766
185	3.199839464
186	3.195569134
187	3.189810094
188	3.183055552
189	3.176521444
190	3.172732195
191	3.166143901
192	3.155645722
193	3.150542158
194	3.144189766
195	3.1380886
196	3.135178566
197	3.125359736
198	3.115776182
199	3.10616917
200	3.104071862
201	3.096062382
202	3.093273077
203	3.087018856
204	3.081270993
205	3.079405605
206	3.069895205
207	3.06507489
208	3.061749148
209	3.05700525
210	3.052064531
211	3.044283461
212	3.04179944
213	3.033052689
214	3.029978446
215	3.026038504
216	3.024238057
217	3.019850502
218	3.016833311
219	3.008641633
220	3.006274248
221	3.003865512
222	2.997016812
223	2.995125316
224	2.993268952
225	2.991336954
226	2.981189106
227	2.974984333
228	2.968733119
229	2.96179151
230	2.956419667
231	2.948814779
232	2.940415197
233	2.933538834
234	2.929559979
235	2.925699401
236	2.921570761
237	2.916914719
238	2.911585778
239	2.907450228
240	2.897769715
241	2.894761423
242	2.886410378
243	2.884496434
244	2.874718983
245	2.870291791
246	2.863873166
247	2.861659734
248	2.860884664
249	2.855681208
250	2.851510411
251	2.846940357
252	2.842746106
253	2.835519737
254	2.834238305
255	2.830982524
256	2.822446718
257	2.818418412
258	2.813810761
259	2.813062883
260	2.803458941
261	2.797609513
262	2.79008474
263	2.788272565
264	2.781853046
265	2.778695443
266	2.767824999
267	2.762447908
268	2.753591571
269	2.749255065
270	2.746370697
271	2.738682098
272	2.732698351
273	2.724957847
274	2.71420805
275	2.712935225
276	2.709546573
277	2.706884996
278	2.698435682
279	2.696447934
280	2.69299698
281	2.686579746
282	2.684156327
283	2.679766334
284	2.670550491
285	2.663148335
286	2.657939524
287	2.654473668
288	2.64891845
289	2.639790438
290	2.633183371
291	2.62399943
292	2.619240971
293	2.616455432
294	2.611802542
295	2.609825538
296	2.607040242
297	2.601958676
298	2.593213246
299	2.591335777
300	2.58489916
301	2.576819131
302	2.574171967
303	2.567268513
304	2.56558857
305	2.558570378
306	2.554076769
307	2.550637529
308	2.549277094
309	2.541660854
310	2.540305661
311	2.537374773
312	2.533726189
313	2.530703563
314	2.52442485
315	2.521858152
316	2.520612474
317	2.516111185
318	2.509553002
319	2.50493912
320	2.503696978
321	2.497034579
322	2.492018645
323	2.4898022
324	2.483281123
325	2.480764162
326	2.479334132
327	2.475125204
328	2.468163782
329	2.461523016
330	2.455166833
331	2.450614829
332	2.447340596
333	2.440605612
334	2.439493821
335	2.433629585
336	2.430410642
337	2.42534345
338	2.419547958
339	2.413983205
340	2.410833502
341	2.40871362
342	2.405281555
343	2.403761667
344	2.395378966
345	2.39037555
346	2.38333552
347	2.381657061
348	2.379309959
349	2.37601736
350	2.372823779
351	2.366517472
352	2.363079314
353	2.356018607
354	2.349605087
355	2.342608941
356	2.339313326
357	2.332701577
358	2.325889769
359	2.320142218
360	2.314931502
361	2.310834219
362	2.308521198
363	2.30308536
364	2.298434892
365	2.29576136
366	2.293259112
367	2.289458227
368	2.28391753
369	2.278008617
370	2.274217149
371	2.269574954
372	2.26532009
373	2.264140434
374	2.262309731
375	2.261181631
376	2.257107542
377	2.254439413
378	2.249442606
379	2.248772063
380	2.241675912
381	2.23840389
382	2.23427701
383	2.229299973
384	2.227242611
385	2.221535874
386	2.220442476
387	2.218057042
388	2.213519159
389	2.21151329
390	2.209022594
391	2.207816565
392	2.202601908
393	2.196538919
394	2.194456458
395	2.192073346
396	2.186573091
397	2.181939808
398	2.176866297
399	2.175212512
400	2.169203295
401	2.167467968
402	2.165553645
403	2.164390036
404	2.163904693
405	2.158395665
406	2.15373261
407	2.15144789
408	2.147101991
409	2.141753431
410	2.138356584
411	2.134454077
412	2.131102663
413	2.127955707
414	2.123848684
415	2.120978896
416	2.115311291
417	2.114183908
418	2.109565838
419	2.104789709
420	2.099722967
421	2.095502347
422	2.093965613
423	2.088402535
424	2.086377802
425	2.082741689
426	2.079730696
427	2.075076707
428	2.070215663
429	2.066858799
430	2.064417318
431	2.059310182
432	2.056363231
433	2.054286769
434	2.051728729
435	2.047143908
436	2.043357199
437	2.0409146
438	2.03811566
439	2.03486781
440	2.034118741
441	2.03166715
442	2.030597865
443	2.02917208
444	2.025894854
445	2.021122862
446	2.016747847
447	2.013673998
448	2.010446885
449	2.009371344
450	2.006248243
451	2.003440307
452	1.999523588
453	1.998004262
454	1.993066181
455	1.991877875
456	1.990870953
457	1.988700511
458	1.984800548
459	1.980476149
460	1.976992445
461	1.974009486
462	1.972108117
463	1.968141096
464	1.963600307
465	1.959999289
466	1.956588643
467	1.954334803
468	1.949552741
469	1.945157732
470	1.942558509
471	1.940662695
472	1.939692654
473	1.938959052
474	1.93586869
475	1.934701353
476	1.933974107
477	1.933301507
478	1.930810788
479	1.926785111
480	1.925192752
481	1.920744078
482	1.920287453
483	1.91562507
484	1.910857407
485	1.908658193
486	1.906925018
487	1.905348378
488	1.901756717
489	1.90079883
490	1.896860456
491	1.893621982
492	1.892270734
493	1.889339045
494	1.886646993
495	1.883082919
496	1.87866974
497	1.876010839
498	1.875037956
499	1.870099592
500	1.866650738
501	1.863004697
502	1.860038172
503	1.857216682
504	1.853597499
505	1.850978702
506	1.848274412
507	1.847061002
508	1.845401833
509	1.844733016
510	1.842427803
511	1.837969089
512	1.834203234
513	1.831745693
514	1.830111047
515	1.826761543
516	1.824721952
517	1.822213059
518	1.818030974
519	1.817326823
520	1.813538149
521	1.812045197
522	1.810910356
523	1.810507028
524	1.807783889
525	1.807077168
526	1.804430274
527	1.801619692
528	1.796871509
529	1.795803195
530	1.793580157
531	1.790534204
532	1.787525983
533	1.783960268
534	1.781758684
535	1.779036341
536	1.775505487
537	1.772353163
538	1.770405737
539	1.768198019
540	1.766256976
541	1.762765135
542	1.760309097
543	1.757270189
544	1.756203509
545	1.753315679
546	1.750887641
547	1.747750666
548	1.744777221
549	1.74255523
550	1.738820756
551	1.735196124
552	1.731597967
553	1.730569057
554	1.728310642
555	1.727502301
556	1.72432345
557	1.721340769
558	1.718209766
559	1.713540956
560	1.709659238
561	1.706063051
562	1.703687637
563	1.701372327
564	1.70089783
565	1.697064005
566	1.694207627
567	1.690136778
568	1.687093376
569	1.684606126
570	1.681576131
571	1.678078456
572	1.675154028
573	1.67294776
574	1.670848258
575	1.669892526
576	1.66923672
577	1.667876569
578	1.665582517
579	1.665183793
580	1.662959286
581	1.659570961
582	1.657308554
583	1.654070662
584	1.653151571
585	1.65010648
586	1.646298995
587	1.645289336
588	1.642840904
589	1.639812435
590	1.639406883
591	1.637976831
592	1.635354316
593	1.63409919
594	1.631875176
595	1.629785319
596	1.628058185
597	1.624776567
598	1.621989908
599	1.618717164
600	1.617195223
601	1.616426702
602	1.613041922
603	1.611168502
604	1.608221456
605	1.607397135
606	1.605406569
607	1.602382492
608	1.599172487
609	1.596359442
610	1.594448993
611	1.592512336
612	1.589423692
613	1.586411124
614	1.585221371
615	1.584003534
616	1.581806769
617	1.580504385
618	1.577885373
619	1.575941143
620	1.572630164
621	1.56993039
622	1.567838688
623	1.564715888
624	1.562950929
625	1.562393163
626	1.559884426
627	1.558195966
628	1.556950154
629	1.555879901
630	1.55332462
631	1.550041521
632	1.548833638
633	1.546142372
634	1.543274906
635	1.542240446
636	1.540803838
637	1.538373892
638	1.5372075
639	1.534150398
640	1.533584294
641	1.53294937
642	1.529907971
643	1.527093713
644	1.524473353
645	1.52120394
646	1.520500932
647	1.517378835
648	1.514995062
649	1.51329019
650	1.512142729
651	1.511738368
652	1.510067983
653	1.507397617
654	1.506718092
655	1.505595328
656	1.503720451
657	1.50127097
658	1.500275301
659	1.497316681
660	1.496542071
661	1.495257269
662	1.493284198
663	1.492998875
664	1.490181924
665	1.486987441
666	1.48445745
667	1.482220302
668	1.478932889
669	1.478589163
670	1.477113715
671	1.474058973
672	1.47347442
673	1.471241583
674	1.468253652
675	1.466879946
676	1.465041656
677	1.463612752
678	1.46063942
679	1.457842873
680	1.457122807
681	1.454489751
682	1.453979411
683	1.451770514
684	1.448731955
685	1.446615034
686	1.44372598
687	1.441257557
688	1.438120264
689	1.43642233
690	1.433951494
691	1.432021973
692	1.431302858
693	1.430985768
694	1.429666961
695	1.426192243
696	1.424453312
697	1.422160835
698	1.419586193
699	1.418406856
700	1.41711696
701	1.416437567
702	1.414419324
703	1.41398309
704	1.411594879
705	1.409608996
706	1.406622728
707	1.405257669
708	1.402927549
709	1.402622253
710	1.401023425
711	1.398543327
712	1.395941705
713	1.394073795
714	1.391354801
715	1.390243718
716	1.389271197
717	1.386230814
718	1.384118372
719	1.383283113
720	1.380263777
721	1.378796326
722	1.376519358
723	1.374900818
724	1.37367462
725	1.373130208
726	1.371286826
727	1.370094609
728	1.368655724
729	1.367733334
730	1.365829525
731	1.364132694
732	1.361928792
733	1.361551315
734	1.359402699
735	1.356982081
736	1.355494915
737	1.352955996
738	1.350347643
739	1.348503479
740	1.346814758
741	1.346062104
742	1.343386095
743	1.341439295
744	1.338389951
745	1.3378472
746	1.336668361
747	1.336299051
748	1.335319889
749	1.333343324
750	1.330539312
751	1.328689606
752	1.326342576
753	1.325751184
754	1.324676441
755	1.3220505
756	1.319857485
757	1.318702027
758	1.31745816
759	1.317135396
760	1.315473424
761	1.313394902
762	1.312118948
763	1.311358795
764	1.310431266
765	1.309457522
766	1.308086971
767	1.307430589
768	1.304571147
769	1.303583916
770	1.301383319
771	1.300086638
772	1.299529268
773	1.298575144
774	1.296179921
775	1.2939328
776	1.291489833
777	1.290904984
778	1.290225004
779	1.287094764
780	1.286560588
781	1.285160754
782	1.284222742
783	1.281519901
784	1.279841348
785	1.27862443
786	1.277205844
787	1.275006063
